scheduler,time,transcode_duration
pinned,1087.1095,12.1148
pinned,1099.3888,12.2793
pinned,1110.7063,11.3174
pinned,1121.8892,11.1829
pinned,1133.6307,11.7414
pinned,1145.3739,11.7431
pinned,1157.1752,11.8013
pinned,1169.1327,11.9574
pinned,1180.9961,11.8634
pinned,1192.8126,11.8165
pinned,1204.7242,11.9116
pinned,1216.5320,11.8077
pinned,1228.7337,12.2017
pinned,1240.6740,11.9403
pinned,1252.4241,11.7500
pinned,1264.5704,12.1462
